CLUSTER_100	4	4	5	1.0
CLUSTER_101	1	2	9	0.5
CLUSTER_102	1	66	7	0.015151515151515152
CLUSTER_103	1	1	6	1.0
CLUSTER_104	1	1	4	1.0
CLUSTER_105	1	3	2	0.3333333333333333
CLUSTER_106	1	2	4	0.5
CLUSTER_107	-1	-1	-1	1.0
CLUSTER_108	3	6	10	0.5
CLUSTER_109	1	10	5	0.1
CLUSTER_10	2	12	7	0.16666666666666666
CLUSTER_110	4	24	6	0.16666666666666666
CLUSTER_111	1	1	1	1.0
CLUSTER_112	1	1	6	1.0
CLUSTER_113	2	22	3	0.09090909090909091
CLUSTER_114	1	2	3	0.5
CLUSTER_115	1	2	5	0.5
CLUSTER_116	1	2	5	0.5
CLUSTER_117	1	8	2	0.125
CLUSTER_118	1	12	6	0.08333333333333333
CLUSTER_119	2	3	5	0.6666666666666666
CLUSTER_11	1	1	0	1.0
CLUSTER_120	8	8	2	1.0
CLUSTER_121	1	1	5	1.0
CLUSTER_122	1	3	11	0.3333333333333333
CLUSTER_123	6	18	6	0.3333333333333333
CLUSTER_124	1	1	10	1.0
CLUSTER_125	2	2	6	1.0
CLUSTER_126	1	4	2	0.25
CLUSTER_127	2	6	1	0.3333333333333333
CLUSTER_128	5	5	3	1.0
CLUSTER_129	1	1	3	1.0
CLUSTER_12	15	34	4	0.4411764705882353
CLUSTER_130	2	2	3	1.0
CLUSTER_131	3	3	1	1.0
CLUSTER_132	1	12	7	0.08333333333333333
CLUSTER_133	1	5	7	0.2
CLUSTER_134	2	2	0	1.0
CLUSTER_135	2	18	3	0.1111111111111111
CLUSTER_136	2	2	3	1.0
CLUSTER_137	1	1	1	1.0
CLUSTER_138	1	7	1	0.14285714285714285
CLUSTER_139	2	60	5	0.03333333333333333
CLUSTER_13	1	1	4	1.0
CLUSTER_140	6	6	6	1.0
CLUSTER_141	2	2	1	1.0
CLUSTER_142	1	2	4	0.5
CLUSTER_143	1	3	9	0.3333333333333333
CLUSTER_144	1	1	1	1.0
CLUSTER_145	1	4	5	0.25
CLUSTER_146	1	14	7	0.07142857142857142
CLUSTER_147	2	10	7	0.2
CLUSTER_148	1	41	9	0.024390243902439025
