1000270261	1000270261 1005429254 1012943739 1012945612 1007683881 1012947484
1000270293	1000270293 1010930359 1002953106 1005429222 1012943771 1002058826 1082829662 1012945644 1007683914 1012947516 1082832900 1001598017 1115331896 1010924900 1400335459 1082827946 1082830876 1029514456
1001710475	1001710475
1001764212	1001764212
1002323131	1002323131
1002953103	1002953103 1005429219 1002058823 1000270296 1012943774 1082829659 1012945647 1082832897 1007683917 1012947519 1010924897 1001598020 1082830873 1029514453 1010930356 1400335462 1082827949 1000270297 1082827950 1002058822 1082829658 1012943775 1082832896 1012945648 1007683918 1012947520 1010924896 1001598021 1082830872 1029514452 1010930355 1002953102 1005429218 1400335463
1007683901	1007683901 1012947504 1010924913 1029514469 1005429234 1400335239 1002058838 1000270280 1012943759 1012945632 1082832914 1905382478
1010930358	1010930358 1000270294 1002953105 1005429221 1002058825 1012943772 1082829661 1012945645 1007683915 1082832899 1012947517 1001598018 1115331895 1010924899 1082830875 1400335460 1029514455 1082827947
1037498601	1037498601
1082832915	1082832915 1012947503 1010924914 1029514470 1400335238 1005429235 1000270279 1002058839 1012943758 1012945631 1007683900 1002660606
1093055812	1093055812
1115326199	1115326199 1905382500 1093055816 1905380485 1905382480 1012947499 1082832919 1400335234 1010924917 1000270275 1029514474 1012943754 1005429239 1002058843 1012945627 1007683896 1115363474 1002660602 1005110798 1905361712 1001710479 1115346385 1115384619 1502880154 1005527017 1002322615 1001615485 1030068094 1037498589
1115409070	1115409070
1400335464	1400335464 1002058821 1082827951 1082829657 1000270298 1012943776 1082832895 1012945649 1007683919 1010924895 1012947521 1082830871 1029514451 1001598022 1010930354 1002953101 1005429217
1500884640	1500884640 1905360554 1002952507 1115331879 1002058146
1905360585	1905360585 1500884609 1001765311
1000270262	1000270262 1005429253 1012943740 1012945613 1007683882 1012947485 1082832936 1010924932 1029514489
1001710476	1001710476
1001764213	1001764213
1002058854	1002058854 1082832931
1002323132	1002323132
1003738807	1003738807 1002660598 1115363470
1005429252	1005429252 1000270263 1012943741 1012945614 1007683883 1012947486 1082832935 1010924931 1029514488
1005933240	1005933240 1905382502 1093056646
1007683902	1007683902 1082832913 1011628625
1037498602	1037498602
1082832916	1082832916 1012947502 1010924915 1029514471 1400335237 1000270278 1005429236 1002058840 1012943757 1012945630 1007683899 1002660605
1115409071	1115409071 1115409069
1001615487	1001615487
1001764214	1001764214
